Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
ALRN,Aileron Therapeutics Inc,13.35,-0.02,194893000,22.50%,0.00%,52.74%,N/A,NASDAQ,0.83%,15.48,10.37,13.33
ALSN,Allison Transmission Holdings,40.29,0,6005972000,42.06%,24.26%,15.33%,33% Buy,NYSE,-0.17%,40.92,28.29,40.36
ALX,Alexander's Inc,415,-0.93,2131739000,4.22%,-5.62%,8.12%,67% Sell,NYSE,-0.52%,451.99,369.33,417.79
ALXN,Alexion Pharm Inc,133.1,-1.81,30499778000,9.83%,-28.58%,21.60%,33% Buy,NASDAQ,-2.61%,149.34,96.18,138.34
AMAG,Amag Pharmaceuticals,15.3,-0.56,548760000,-41.94%,-52.89%,45.81%,100% Sell,NASDAQ,-1.61%,36.83,15.1,15.82
AMAT,Applied Materials,54.66,-1.9,60128708000,90.66%,155.23%,20.28%,100% Buy,NASDAQ,-3.05%,56.73,28.02,56.3
AMBA,Ambarella Inc,53.49,-0.63,1795997000,-14.73%,22.10%,27.37%,Hold,NASDAQ,-1.09%,65.78,40.06,54.23
AMBC,Ambac Financial Grp,16,-0.54,730788000,-16.21%,-29.41%,28.59%,100% Sell,NASDAQ,-0.93%,27.25,15.67,16.19
AMBR,Amber Road Inc,7.72,-1.13,214836000,-18.83%,-40.75%,26.86%,67% Sell,NYSE,-2.40%,12.3,6.71,7.94
AMC,Amc Entertainment Holdings Inc,14.2,-0.05,1871870000,-54.83%,-43.70%,50.69%,67% Sell,NYSE,-0.70%,35.65,12.05,14.23
AMCX,Amc Networks Cl A,51.73,-0.48,3328002000,-1.45%,-13.67%,36.27%,33% Sell,NASDAQ,-1.20%,67.61,46.17,52.93
AMD,Adv Micro Devices,12.41,-3.9,13491615000,67.15%,408.93%,52.21%,67% Sell,NASDAQ,-12.91%,15.65,6.22,14.25
AME,Amtek Inc,67.92,-1.48,15862197000,52.10%,31.79%,9.27%,100% Buy,NYSE,-1.18%,69.07,43.98,68.79
